KernelSize,Sigma,SP_Noise,Gamma,Step_s,Step_t,Final_Objective,MSE,PSNR
5,15,0.01,0.05,0.05,0.05,176.464,0.00460886,23.3641
5,15,0.01,0.05,0.05,0.3,164.371,0.00446877,23.4981
5,15,0.01,0.05,0.05,0.9,160.908,0.0044779,23.4893
5,15,0.01,0.05,0.3,0.05,161.655,0.00459038,23.3815
5,15,0.01,0.05,0.3,0.3,160.004,0.00447911,23.4881
5,15,0.01,0.05,0.3,0.9,NaN,NaN,NaN
5,15,0.01,0.05,0.9,0.05,160.568,0.00458983,23.382
5,15,0.01,0.05,0.9,0.3,NaN,NaN,NaN
5,15,0.01,0.05,0.9,0.9,NaN,NaN,NaN
5,15,0.01,0.5,0.05,0.05,1118.25,0.0103211,19.8627
5,15,0.01,0.5,0.05,0.3,568.096,0.00975524,20.1076
5,15,0.01,0.5,0.05,0.9,527.745,0.00969407,20.1349
5,15,0.01,0.5,0.3,0.05,534.104,0.00988253,20.0513
5,15,0.01,0.5,0.3,0.3,469.753,0.00978031,20.0965
5,15,0.01,0.5,0.3,0.9,NaN,NaN,NaN
5,15,0.01,0.5,0.9,0.05,460.779,0.00966664,20.1472
5,15,0.01,0.5,0.9,0.3,NaN,NaN,NaN
5,15,0.01,0.5,0.9,0.9,NaN,NaN,NaN
5,15,0.05,0.005,0.05,0.05,474.031,0.0150755,18.2173
5,15,0.05,0.005,0.05,0.3,439.457,0.0195722,17.0836
5,15,0.05,0.005,0.05,0.9,437.258,0.0275257,15.6026
5,15,0.05,0.005,0.3,0.05,472.52,0.0150774,18.2167
5,15,0.05,0.005,0.3,0.3,439.201,0.0198632,17.0195
5,15,0.05,0.005,0.3,0.9,NaN,NaN,NaN
5,15,0.05,0.005,0.9,0.05,472.373,0.0150702,18.2188
5,15,0.05,0.005,0.9,0.3,NaN,NaN,NaN
5,15,0.05,0.005,0.9,0.9,NaN,NaN,NaN
5,15,0.05,0.05,0.05,0.05,569.815,0.0053394,22.7251
5,15,0.05,0.05,0.05,0.3,547.208,0.00516064,22.873
5,15,0.05,0.05,0.05,0.9,540.896,0.00516284,22.8711
5,15,0.05,0.05,0.3,0.05,542.477,0.00528439,22.77
5,15,0.05,0.05,0.3,0.3,539.773,0.00515688,22.8761
5,15,0.05,0.05,0.3,0.9,NaN,NaN,NaN
5,15,0.05,0.05,0.9,0.05,540.812,0.00528502,22.7695
5,15,0.05,0.05,0.9,0.3,NaN,NaN,NaN
5,15,0.05,0.05,0.9,0.9,NaN,NaN,NaN
5,15,0.05,0.5,0.05,0.05,2466.93,0.0118612,19.2587
5,15,0.05,0.5,0.05,0.3,1005.44,0.0103489,19.8511
5,15,0.05,0.5,0.05,0.9,906.405,0.0102178,19.9064
5,15,0.05,0.5,0.3,0.05,977.736,0.0106131,19.7416
5,15,0.05,0.5,0.3,0.3,839.195,0.0104747,19.7986
5,15,0.05,0.5,0.3,0.9,NaN,NaN,NaN
5,15,0.05,0.5,0.9,0.05,833.528,0.010397,19.8309
5,15,0.05,0.5,0.9,0.3,NaN,NaN,NaN
5,15,0.05,0.5,0.9,0.9,NaN,NaN,NaN
5,15,0.15,0.005,0.05,0.05,1373.78,0.0404688,13.9288
5,15,0.15,0.005,0.05,0.3,1257.29,0.068549,11.64
5,15,0.15,0.005,0.05,0.9,1248.97,0.0936986,10.2827
5,15,0.15,0.005,0.3,0.05,1367.36,0.0408581,13.8872
5,15,0.15,0.005,0.3,0.3,1256.29,0.07026,11.5329
5,15,0.15,0.005,0.3,0.9,NaN,NaN,NaN
5,15,0.15,0.005,0.9,0.05,1366.65,0.0408941,13.8834
5,15,0.15,0.005,0.9,0.3,NaN,NaN,NaN
5,15,0.15,0.005,0.9,0.9,NaN,NaN,NaN
5,15,0.15,0.05,0.05,0.05,1523.84,0.00850315,20.7042
5,15,0.15,0.05,0.05,0.3,1495.77,0.00820662,20.8584
5,15,0.15,0.05,0.05,0.9,1490.27,0.00820869,20.8573
5,15,0.15,0.05,0.3,0.05,1493.74,0.00848978,20.711
5,15,0.15,0.05,0.3,0.3,1489.21,0.00819041,20.8669
5,15,0.15,0.05,0.3,0.9,NaN,NaN,NaN
5,15,0.15,0.05,0.9,0.05,1492.05,0.00850091,20.7053
5,15,0.15,0.05,0.9,0.3,NaN,NaN,NaN
5,15,0.15,0.05,0.9,0.9,NaN,NaN,NaN
5,15,0.15,0.5,0.05,0.05,4744.91,0.016362,17.8616
5,15,0.15,0.5,0.05,0.3,2036.26,0.0125942,18.9983
5,15,0.15,0.5,0.05,0.9,1852.55,0.0124036,19.0645
5,15,0.15,0.5,0.3,0.05,2016.37,0.0131922,18.7968
5,15,0.15,0.5,0.3,0.3,1775.22,0.0129878,18.8647
5,15,0.15,0.5,0.3,0.9,NaN,NaN,NaN
5,15,0.15,0.5,0.9,0.05,1774.37,0.0128947,18.8959
5,15,0.15,0.5,0.9,0.3,NaN,NaN,NaN
5,15,0.15,0.5,0.9,0.9,NaN,NaN,NaN
15,1,0.01,0.005,0.05,0.05,85.0973,0.00493769,23.0648
15,1,0.01,0.005,0.05,0.3,83.7578,0.00535735,22.7105
15,1,0.01,0.005,0.05,0.9,83.6851,0.00550919,22.5891
15,1,0.01,0.005,0.3,0.05,84.9601,0.00492467,23.0762
15,1,0.01,0.005,0.3,0.3,83.7272,0.00534733,22.7186
15,1,0.01,0.005,0.3,0.9,NaN,NaN,NaN
15,1,0.01,0.005,0.9,0.05,84.9512,0.0049218,23.0788
15,1,0.01,0.005,0.9,0.3,NaN,NaN,NaN
15,1,0.01,0.005,0.9,0.9,NaN,NaN,NaN
15,1,0.01,0.05,0.05,0.05,172.965,0.00338008,24.7107
15,1,0.01,0.05,0.05,0.3,163.545,0.00333353,24.771
15,1,0.01,0.05,0.05,0.9,162.544,0.00333187,24.7731
15,1,0.01,0.05,0.3,0.05,163.272,0.00341096,24.6712
15,1,0.01,0.05,0.3,0.3,161.809,0.00333895,24.7639
15,1,0.01,0.05,0.3,0.9,NaN,NaN,NaN
15,1,0.01,0.05,0.9,0.05,162.768,0.00341294,24.6687
15,1,0.01,0.05,0.9,0.3,NaN,NaN,NaN
15,1,0.01,0.05,0.9,0.9,NaN,NaN,NaN
15,1,0.01,0.5,0.05,0.05,1073.4,0.00938594,20.2752
15,1,0.01,0.5,0.05,0.3,572.554,0.00885923,20.526
15,1,0.01,0.5,0.05,0.9,558.721,0.00882848,20.5411
15,1,0.01,0.5,0.3,0.05,528.28,0.00898065,20.4669
15,1,0.01,0.5,0.3,0.3,499.246,0.00889772,20.5072
15,1,0.01,0.5,0.3,0.9,NaN,NaN,NaN
15,1,0.01,0.5,0.9,0.05,487.463,0.00879626,20.557
15,1,0.01,0.5,0.9,0.3,NaN,NaN,NaN
15,1,0.01,0.5,0.9,0.9,NaN,NaN,NaN
15,1,0.05,0.005,0.05,0.05,408.203,0.0189269,17.2292
15,1,0.05,0.005,0.05,0.3,401.37,0.0237622,16.2411
15,1,0.05,0.005,0.05,0.9,400.916,0.0255737,15.9221
15,1,0.05,0.005,0.3,0.05,407.767,0.0190094,17.2103
15,1,0.05,0.005,0.3,0.3,401.288,0.0238048,16.2334
15,1,0.05,0.005,0.3,0.9,NaN,NaN,NaN
15,1,0.05,0.005,0.9,0.05,407.733,0.0190136,17.2093
15,1,0.05,0.005,0.9,0.3,NaN,NaN,NaN
15,1,0.05,0.005,0.9,0.9,NaN,NaN,NaN
15,1,0.05,0.05,0.05,0.05,575.792,0.00472284,23.258
15,1,0.05,0.05,0.05,0.3,558.577,0.00444087,23.5253
15,1,0.05,0.05,0.05,0.9,556.652,0.00443862,23.5275
15,1,0.05,0.05,0.3,0.05,560.749,0.00491991,23.0804
15,1,0.05,0.05,0.3,0.3,555.757,0.00443796,23.5282
15,1,0.05,0.05,0.3,0.9,NaN,NaN,NaN
15,1,0.05,0.05,0.9,0.05,560,0.0049535,23.0509
15,1,0.05,0.05,0.9,0.3,NaN,NaN,NaN
15,1,0.05,0.05,0.9,0.9,NaN,NaN,NaN
15,1,0.05,0.5,0.05,0.05,2430.2,0.0108022,19.6649
15,1,0.05,0.5,0.05,0.3,996.494,0.00942272,20.2582
15,1,0.05,0.5,0.05,0.9,958.506,0.00945151,20.245
15,1,0.05,0.5,0.3,0.05,954.967,0.00965634,20.1519
15,1,0.05,0.5,0.3,0.3,890.714,0.00957271,20.1896
15,1,0.05,0.5,0.3,0.9,NaN,NaN,NaN
15,1,0.05,0.5,0.9,0.05,879.389,0.00945838,20.2418
15,1,0.05,0.5,0.9,0.3,NaN,NaN,NaN
15,1,0.05,0.5,0.9,0.9,NaN,NaN,NaN
15,1,0.15,0.005,0.05,0.05,1136.95,0.0520158,12.8386
15,1,0.15,0.005,0.05,0.3,1110.95,0.0694417,11.5838
15,1,0.15,0.005,0.05,0.9,1109.09,0.0767526,11.1491
15,1,0.15,0.005,0.3,0.05,1135.42,0.0524143,12.8055
15,1,0.15,0.005,0.3,0.3,1110.68,0.0699034,11.555
15,1,0.15,0.005,0.3,0.9,NaN,NaN,NaN
15,1,0.15,0.005,0.9,0.05,1135.28,0.0524504,12.8025
15,1,0.15,0.005,0.9,0.3,NaN,NaN,NaN
15,1,0.15,0.005,0.9,0.9,NaN,NaN,NaN
15,1,0.15,0.05,0.05,0.05,1461.11,0.010301,19.8712
15,1,0.15,0.05,0.05,0.3,1439.13,0.00923417,20.346
15,1,0.15,0.05,0.05,0.9,1437.41,0.00923584,20.3452
15,1,0.15,0.05,0.3,0.05,1446.08,0.0109985,19.5867
15,1,0.15,0.05,0.3,0.3,1436.71,0.00922333,20.3511
15,1,0.15,0.05,0.3,0.9,NaN,NaN,NaN
15,1,0.15,0.05,0.9,0.05,1445.57,0.011111,19.5425
15,1,0.15,0.05,0.9,0.3,NaN,NaN,NaN
15,1,0.15,0.05,0.9,0.9,NaN,NaN,NaN
15,1,0.15,0.5,0.05,0.05,4546.19,0.0147084,18.3243
15,1,0.15,0.5,0.05,0.3,1935.65,0.0114272,19.4206
15,1,0.15,0.5,0.05,0.9,1864.88,0.011415,19.4252
15,1,0.15,0.5,0.3,0.05,1894.13,0.0119678,19.2199
15,1,0.15,0.5,0.3,0.3,1783.88,0.0118626,19.2582
15,1,0.15,0.5,0.3,0.9,NaN,NaN,NaN
15,1,0.15,0.5,0.9,0.05,1773.63,0.0117895,19.285
15,1,0.15,0.5,0.9,0.3,NaN,NaN,NaN
15,1,0.15,0.5,0.9,0.9,NaN,NaN,NaN
15,5,0.01,0.005,0.05,0.05,109.2,0.0104684,19.8012
15,5,0.01,0.005,0.05,0.3,104.459,0.00765781,21.159
15,5,0.01,0.005,0.05,0.9,103.982,0.00723073,21.4082
15,5,0.01,0.005,0.3,0.05,109.107,0.0104381,19.8138
15,5,0.01,0.005,0.3,0.3,104.328,0.007637,21.1708
15,5,0.01,0.005,0.3,0.9,NaN,NaN,NaN
15,5,0.01,0.005,0.9,0.05,109.099,0.0104344,19.8153
